#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.527758E-01   0.509785E+07   0.506852E+07  -0.447663E+02  -0.447664E+02   0.894963E+06   0.507562E+07   0.509324E+07   0.507562E+07  -0.121111E+00   0.267911E+07   0.267892E+07   0.117058E+01
   0.545647E-01   0.495550E+07   0.492857E+07  -0.407155E+02  -0.407156E+02   0.837336E+06   0.493400E+07   0.495127E+07   0.493400E+07  -0.117732E+00   0.260439E+07   0.260422E+07   0.100476E+01
   0.564141E-01   0.481907E+07   0.479453E+07  -0.370462E+02  -0.370464E+02   0.783371E+06   0.479829E+07   0.481522E+07   0.479829E+07  -0.114494E+00   0.253279E+07   0.253264E+07   0.851740E+00
   0.583263E-01   0.468768E+07   0.466546E+07  -0.337168E+02  -0.337169E+02   0.732758E+06   0.466760E+07   0.468418E+07   0.466760E+07  -0.111375E+00   0.246383E+07   0.246370E+07   0.713806E+00
   0.610755E-01   0.451677E+07   0.449756E+07  -0.296344E+02  -0.296345E+02   0.668358E+06   0.449762E+07   0.451375E+07   0.449762E+07  -0.107319E+00   0.237414E+07   0.237404E+07   0.551266E+00
   0.638247E-01   0.435472E+07   0.433801E+07  -0.261674E+02  -0.261675E+02   0.610968E+06   0.433639E+07   0.435209E+07   0.433639E+07  -0.103472E+00   0.228907E+07   0.228899E+07   0.430045E+00
   0.665739E-01   0.420058E+07   0.418580E+07  -0.232031E+02  -0.232032E+02   0.559632E+06   0.418299E+07   0.419826E+07   0.418299E+07  -0.998117E-01   0.220812E+07   0.220805E+07   0.346549E+00
   0.693230E-01   0.405022E+07   0.403679E+07  -0.206359E+02  -0.206360E+02   0.513124E+06   0.403328E+07   0.404811E+07   0.403328E+07  -0.962394E-01   0.212912E+07   0.212906E+07   0.296070E+00
   0.720722E-01   0.390101E+07   0.388836E+07  -0.183903E+02  -0.183903E+02   0.470599E+06   0.388464E+07   0.389902E+07   0.388464E+07  -0.926926E-01   0.205068E+07   0.205062E+07   0.272986E+00
   0.748214E-01   0.375166E+07   0.373929E+07  -0.164118E+02  -0.164118E+02   0.431497E+06   0.373579E+07   0.374972E+07   0.373579E+07  -0.891410E-01   0.197213E+07   0.197207E+07   0.271178E+00
   0.775706E-01   0.360221E+07   0.358970E+07  -0.146617E+02  -0.146618E+02   0.395482E+06   0.358680E+07   0.360025E+07   0.358680E+07  -0.855858E-01   0.189350E+07   0.189343E+07   0.284419E+00
