#           k/h    P           
   0.541763E+01   0.158634E+00
   0.552708E+01   0.150722E+00
   0.563873E+01   0.143199E+00
   0.575264E+01   0.136046E+00
   0.586885E+01   0.129246E+00
   0.598741E+01   0.122780E+00
   0.610836E+01   0.116632E+00
   0.623176E+01   0.110789E+00
   0.635765E+01   0.105233E+00
   0.648609E+01   0.999527E-01
   0.661711E+01   0.949333E-01
   0.675079E+01   0.901625E-01
   0.688716E+01   0.856281E-01
   0.702629E+01   0.813186E-01
   0.716823E+01   0.772231E-01
   0.731304E+01   0.733311E-01
   0.746077E+01   0.696326E-01
   0.761149E+01   0.661182E-01
   0.776525E+01   0.627789E-01
   0.792212E+01   0.596060E-01
   0.808217E+01   0.565914E-01
   0.824543E+01   0.537274E-01
   0.841200E+01   0.510064E-01
   0.858193E+01   0.484216E-01
   0.875530E+01   0.459660E-01
   0.893217E+01   0.436335E-01
   0.911261E+01   0.414179E-01
   0.929670E+01   0.393135E-01
   0.948451E+01   0.373146E-01
   0.967610E+01   0.354162E-01
   0.987158E+01   0.336133E-01
   0.100710E+02   0.319010E-01
   0.102744E+02   0.302749E-01
   0.104820E+02   0.287308E-01
   0.106938E+02   0.272646E-01
   0.109098E+02   0.258723E-01
   0.111302E+02   0.245503E-01
   0.113550E+02   0.232951E-01
   0.115844E+02   0.221033E-01
   0.118184E+02   0.209719E-01
   0.120572E+02   0.198978E-01
   0.123007E+02   0.188780E-01
   0.125492E+02   0.179100E-01
   0.128027E+02   0.169911E-01
   0.130614E+02   0.161188E-01
   0.133252E+02   0.152909E-01
   0.135944E+02   0.145050E-01
   0.138691E+02   0.137591E-01
   0.141492E+02   0.130512E-01
   0.144351E+02   0.123793E-01
   0.147267E+02   0.117416E-01
   0.150242E+02   0.111365E-01
   0.153277E+02   0.105622E-01
   0.156373E+02   0.100173E-01
   0.159532E+02   0.950021E-02
   0.162755E+02   0.900955E-02
   0.166043E+02   0.854398E-02
   0.169397E+02   0.810224E-02
   0.172819E+02   0.768312E-02
   0.176310E+02   0.728547E-02
   0.179872E+02   0.690821E-02
   0.183505E+02   0.655030E-02
   0.187212E+02   0.621077E-02
   0.190994E+02   0.588867E-02
   0.194853E+02   0.558312E-02
   0.198789E+02   0.529328E-02
   0.202805E+02   0.501835E-02
   0.206902E+02   0.475757E-02
   0.211081E+02   0.451023E-02
   0.215346E+02   0.427562E-02
   0.219696E+02   0.405312E-02
   0.224134E+02   0.384208E-02
   0.228662E+02   0.364195E-02
   0.233281E+02   0.345214E-02
   0.237994E+02   0.327214E-02
   0.242802E+02   0.310145E-02
   0.247707E+02   0.293958E-02
   0.252710E+02   0.278609E-02
   0.257816E+02   0.264055E-02
   0.263024E+02   0.250254E-02
   0.268337E+02   0.237169E-02
   0.273758E+02   0.224762E-02
   0.279288E+02   0.212999E-02
   0.284930E+02   0.201846E-02
   0.290686E+02   0.191273E-02
   0.296558E+02   0.181249E-02
   0.302549E+02   0.171746E-02
   0.308661E+02   0.162737E-02
   0.314897E+02   0.154196E-02
   0.321258E+02   0.146101E-02
   0.327748E+02   0.138426E-02
   0.334369E+02   0.131152E-02
   0.341123E+02   0.124257E-02
   0.348014E+02   0.117721E-02
   0.355045E+02   0.111527E-02
   0.362217E+02   0.105656E-02
   0.369535E+02   0.100091E-02
   0.377000E+02   0.948174E-03
   0.384616E+02   0.898192E-03
   0.392386E+02   0.850824E-03
   0.400312E+02   0.805934E-03
   0.408399E+02   0.763394E-03
   0.416649E+02   0.723081E-03
   0.425066E+02   0.684881E-03
   0.433653E+02   0.648682E-03
   0.442413E+02   0.614381E-03
   0.451350E+02   0.581880E-03
   0.460469E+02   0.551084E-03
   0.469770E+02   0.521905E-03
   0.479261E+02   0.494259E-03
   0.488942E+02   0.468066E-03
   0.498820E+02   0.443249E-03
   0.508896E+02   0.419738E-03
   0.519177E+02   0.397463E-03
