#           k/h    P           
   0.808217E+01   0.388754E+00
   0.824543E+01   0.369079E+00
   0.841200E+01   0.350387E+00
   0.858193E+01   0.332631E+00
   0.875530E+01   0.315763E+00
   0.893217E+01   0.299739E+00
   0.911261E+01   0.284519E+00
   0.929670E+01   0.270063E+00
   0.948451E+01   0.256332E+00
   0.967610E+01   0.243291E+00
   0.987158E+01   0.230905E+00
   0.100710E+02   0.219143E+00
   0.102744E+02   0.207973E+00
   0.104820E+02   0.197365E+00
   0.106938E+02   0.187293E+00
   0.109098E+02   0.177729E+00
   0.111302E+02   0.168647E+00
   0.113550E+02   0.160025E+00
   0.115844E+02   0.151838E+00
   0.118184E+02   0.144066E+00
   0.120572E+02   0.136687E+00
   0.123007E+02   0.129682E+00
   0.125492E+02   0.123032E+00
   0.128027E+02   0.116720E+00
   0.130614E+02   0.110728E+00
   0.133252E+02   0.105040E+00
   0.135944E+02   0.996414E-01
   0.138691E+02   0.945174E-01
   0.141492E+02   0.896543E-01
   0.144351E+02   0.850388E-01
   0.147267E+02   0.806585E-01
   0.150242E+02   0.765016E-01
   0.153277E+02   0.725567E-01
   0.156373E+02   0.688133E-01
   0.159532E+02   0.652611E-01
   0.162755E+02   0.618905E-01
   0.166043E+02   0.586923E-01
   0.169397E+02   0.556578E-01
   0.172819E+02   0.527786E-01
   0.176310E+02   0.500470E-01
   0.179872E+02   0.474554E-01
   0.183505E+02   0.449968E-01
   0.187212E+02   0.426643E-01
   0.190994E+02   0.404517E-01
   0.194853E+02   0.383527E-01
   0.198789E+02   0.363617E-01
   0.202805E+02   0.344731E-01
   0.206902E+02   0.326817E-01
   0.211081E+02   0.309825E-01
   0.215346E+02   0.293709E-01
   0.219696E+02   0.278424E-01
   0.224134E+02   0.263927E-01
   0.228662E+02   0.250179E-01
   0.233281E+02   0.237140E-01
   0.237994E+02   0.224775E-01
   0.242802E+02   0.213050E-01
   0.247707E+02   0.201930E-01
   0.252710E+02   0.191386E-01
   0.257816E+02   0.181388E-01
   0.263024E+02   0.171908E-01
   0.268337E+02   0.162919E-01
   0.273758E+02   0.154397E-01
   0.279288E+02   0.146316E-01
   0.284930E+02   0.138655E-01
   0.290686E+02   0.131391E-01
   0.296558E+02   0.124505E-01
   0.302549E+02   0.117977E-01
   0.308661E+02   0.111788E-01
   0.314897E+02   0.105922E-01
