#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.390973E-01   0.257627E+07   0.253280E+07   0.365233E+03   0.365230E+03   0.346078E+06   0.256011E+07   0.256944E+07   0.256011E+07  -0.201590E+00   0.248162E+07   0.248057E+07   0.933945E+01
   0.404225E-01   0.249352E+07   0.245082E+07   0.330673E+03   0.330671E+03   0.321055E+06   0.247772E+07   0.248681E+07   0.247772E+07  -0.195102E+00   0.240178E+07   0.240077E+07   0.877099E+01
   0.417926E-01   0.241368E+07   0.237199E+07   0.299422E+03   0.299419E+03   0.297759E+06   0.239827E+07   0.240713E+07   0.239828E+07  -0.188847E+00   0.232480E+07   0.232383E+07   0.817804E+01
   0.432092E-01   0.233702E+07   0.229657E+07   0.271201E+03   0.271199E+03   0.276080E+06   0.232204E+07   0.233067E+07   0.232204E+07  -0.182844E+00   0.225093E+07   0.224999E+07   0.756566E+01
   0.446738E-01   0.226372E+07   0.222474E+07   0.245746E+03   0.245744E+03   0.255989E+06   0.224919E+07   0.225760E+07   0.224919E+07  -0.177107E+00   0.218033E+07   0.217945E+07   0.693974E+01
   0.461880E-01   0.219387E+07   0.215658E+07   0.222802E+03   0.222801E+03   0.237379E+06   0.217982E+07   0.218801E+07   0.217982E+07  -0.171645E+00   0.211310E+07   0.211227E+07   0.630695E+01
   0.477535E-01   0.212746E+07   0.209204E+07   0.202127E+03   0.202125E+03   0.220147E+06   0.211391E+07   0.212189E+07   0.211391E+07  -0.166455E+00   0.204922E+07   0.204844E+07   0.567469E+01
   0.493722E-01   0.206437E+07   0.203101E+07   0.183491E+03   0.183490E+03   0.204231E+06   0.205134E+07   0.205912E+07   0.205134E+07  -0.161528E+00   0.198858E+07   0.198786E+07   0.505096E+01
   0.510456E-01   0.200441E+07   0.197325E+07   0.166683E+03   0.166682E+03   0.189491E+06   0.199191E+07   0.199951E+07   0.199191E+07  -0.156848E+00   0.193098E+07   0.193033E+07   0.444414E+01
   0.527758E-01   0.194732E+07   0.191845E+07   0.151505E+03   0.151504E+03   0.175859E+06   0.193537E+07   0.194279E+07   0.193537E+07  -0.152396E+00   0.187618E+07   0.187560E+07   0.386279E+01
   0.545647E-01   0.189282E+07   0.186629E+07   0.137781E+03   0.137780E+03   0.163216E+06   0.188141E+07   0.188865E+07   0.188141E+07  -0.148147E+00   0.182388E+07   0.182336E+07   0.331557E+01
   0.564141E-01   0.184058E+07   0.181639E+07   0.125351E+03   0.125350E+03   0.151485E+06   0.182970E+07   0.183678E+07   0.182970E+07  -0.144075E+00   0.177376E+07   0.177330E+07   0.281063E+01
   0.583263E-01   0.179025E+07   0.176835E+07   0.114074E+03   0.114073E+03   0.140574E+06   0.177990E+07   0.178681E+07   0.177990E+07  -0.140154E+00   0.172548E+07   0.172509E+07   0.235545E+01
   0.610755E-01   0.172480E+07   0.170584E+07   0.100248E+03   0.100248E+03   0.126836E+06   0.171512E+07   0.172182E+07   0.171512E+07  -0.135053E+00   0.166270E+07   0.166238E+07   0.181908E+01
   0.638247E-01   0.166277E+07   0.164626E+07   0.885088E+02   0.885082E+02   0.114755E+06   0.165369E+07   0.166018E+07   0.165369E+07  -0.130216E+00   0.160315E+07   0.160289E+07   0.141906E+01
   0.665739E-01   0.160381E+07   0.158919E+07   0.784728E+02   0.784722E+02   0.104088E+06   0.159522E+07   0.160151E+07   0.159522E+07  -0.125612E+00   0.154648E+07   0.154626E+07   0.114352E+01
